POLITICAL_UNIT,NAME,WGMS_ID,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GLACIER_REGION_CODE,GLACIER_SUBREGION_CODE
IN,RGI50-14.15711,7082,WESTERN HIMALAYA,LAHAUL SPITI,32.24948,77.63327,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15712,9523,WESTERN HIMALAYA,LAHAUL SPITI,32.24669,77.62572,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15713,9931,WESTERN HIMALAYA,LAHAUL SPITI,32.30247,77.82536,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15714,9724,WESTERN HIMALAYA,LAHAUL SPITI,32.28532,77.88989,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15715,10151,WESTERN HIMALAYA,LAHAUL SPITI,32.41671,77.16334,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15716,9657,WESTERN HIMALAYA,LAHAUL SPITI,32.39047,77.20484,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15717,9885,WESTERN HIMALAYA,LAHAUL SPITI,32.39736,77.19997,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15718,7065,WESTERN HIMALAYA,LAHAUL SPITI,32.40534,77.19048,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15719,7049,WESTERN HIMALAYA,LAHAUL SPITI,32.40369,77.18254,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15720,9577,WESTERN HIMALAYA,LAHAUL SPITI,32.42069,77.14177,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15721,7084,WESTERN HIMALAYA,LAHAUL SPITI,32.41221,77.12694,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15722,9823,WESTERN HIMALAYA,LAHAUL SPITI,32.41246,77.11308,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15723,7374,WESTERN HIMALAYA,LAHAUL SPITI,32.40471,77.10461,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15724,10076,WESTERN HIMALAYA,LAHAUL SPITI,32.40795,77.09467,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15725,7138,WESTERN HIMALAYA,LAHAUL SPITI,32.32438,77.04008,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15726,10230,WESTERN HIMALAYA,LAHAUL SPITI,32.29692,77.02668,6,2,9,,,,,ASW,ASW-03
